,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
376,7844,80477525,1500,1.0,1,600,6,3.0,85,0,0,0,0,0,0,0,0,Flatbush,South Brooklyn,Brooklyn
379,7834,48645350,4000,1.5,1,828,5,26.0,6,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
389,410,90947716,2200,0.0,1,400,5,3.0,96,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
390,9119,82249600,6300,2.0,2,1217,0,6.0,116,0,0,1,1,1,1,0,1,Brooklyn Heights,Northwest Brooklyn,Brooklyn
394,4892,46016462,2400,0.0,1,450,7,2.0,15,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
395,28,79713930,2350,1.0,1,550,2,2.0,88,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn
400,10374,88520811,5145,2.0,2,1106,1,21.0,17,1,0,0,0,1,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
419,7360,26659899,2900,0.0,1,582,1,4.0,10,0,0,1,1,1,0,0,1,DUMBO,Northwest Brooklyn,Brooklyn
423,9782,53717970,1400,1.0,0,650,7,11.0,92,0,0,0,0,0,0,0,0,Brownsville,East Brooklyn,Brooklyn
425,9831,61671467,2900,3.0,2,1335,5,4.0,9,0,0,0,1,1,1,0,0,Gravesend,South Brooklyn,Brooklyn
428,7586,43243355,1995,1.0,1,1000,2,5.0,83,0,0,0,0,0,0,0,0,Brighton Beach,South Brooklyn,Brooklyn
436,8103,90737135,2650,2.0,1,800,2,3.0,106,0,0,0,0,0,0,0,0,Boerum Hill,Northwest Brooklyn,Brooklyn
437,1442,17255633,2300,1.0,1,1000,7,1.0,107,0,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
442,3488,36761941,5000,2.0,2,1124,8,5.0,3,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
448,1405,23741299,5195,2.0,2,1085,6,4.0,8,1,0,1,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
459,3525,87216161,3600,0.0,1,1088,5,8.0,90,0,1,1,0,1,1,0,1,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
460,1069,36761941,4850,2.0,1,1006,8,6.0,3,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
461,5422,44585183,3500,3.0,1,914,5,1.0,85,0,0,1,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
465,3845,6103895,3800,2.0,2,863,5,6.0,8,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
469,2054,82658811,2575,0.0,1,503,1,41.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
470,6427,65295306,3000,2.0,1,1400,1,2.0,117,0,0,0,0,0,0,0,0,Boerum Hill,Northwest Brooklyn,Brooklyn
476,10257,53433230,2200,0.0,1,522,11,4.0,88,0,0,0,0,0,1,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
483,11207,45012515,2428,2.0,1,1092,5,13.0,52,1,0,0,0,0,0,0,0,Coney Island,South Brooklyn,Brooklyn
488,9572,57981926,1600,0.0,1,550,6,3.0,81,0,0,0,0,0,0,0,0,Prospect Park South,Prospect Park,Brooklyn
497,2050,58253476,4488,2.0,2,930,3,4.0,4,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
517,9207,36761941,4950,2.0,1,1006,8,6.0,3,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
522,6256,96767093,3495,0.0,1,815,6,4.0,88,1,0,0,0,1,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
524,8446,37667204,1950,0.0,1,431,3,6.0,96,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn
526,9288,16342599,3500,1.0,1,751,4,3.0,5,1,0,0,0,1,1,0,0,Williamsburg,North Brooklyn,Brooklyn
532,6043,88127054,2650,2.0,2,1073,7,4.0,96,1,0,0,0,0,0,0,0,Brighton Beach,South Brooklyn,Brooklyn
533,10258,10574372,5050,2.0,2,1071,7,7.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
541,11343,95786668,2200,2.0,1,1200,3,4.0,103,0,0,0,0,0,0,0,0,Prospect Park South,Prospect Park,Brooklyn
545,7784,98898797,2150,2.0,1,900,5,3.0,85,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
549,9306,13767927,15750,3.0,3,3056,4,6.0,96,0,0,0,0,0,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
557,7846,82658811,4215,2.0,2,976,1,23.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
562,10873,55781863,2348,1.0,1,760,1,3.0,96,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
563,6714,45012515,1581,0.0,1,513,5,12.0,52,1,0,0,0,0,0,0,0,Coney Island,South Brooklyn,Brooklyn
568,8220,69131476,2850,3.0,2,1500,7,2.0,11,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
573,4250,32260830,3171,1.0,1,711,1,29.0,9,1,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
584,6353,37241218,3300,2.0,1,795,2,2.0,9,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
605,7296,42030046,3225,2.0,1,1200,3,6.0,87,1,0,0,0,0,0,0,0,Windsor Terrace,Prospect Park,Brooklyn
610,10592,97878645,3000,2.0,1,700,1,3.0,108,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn
615,6294,58666729,1675,1.0,1,805,4,4.0,59,1,0,0,0,0,0,0,0,Gravesend,South Brooklyn,Brooklyn
623,3843,6103895,2225,0.0,1,536,5,1.0,8,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
631,3151,68483403,5800,1.0,1,1293,5,10.0,100,0,0,0,0,0,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
639,5286,62941584,1550,1.0,1,625,7,9.0,94,1,0,0,0,0,0,0,0,Sheepshead Bay,South Brooklyn,Brooklyn
641,8157,53569564,5346,2.0,1,842,5,6.0,1,1,0,0,0,0,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
651,2282,82658811,3155,1.0,1,677,1,29.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
658,6037,92956624,2400,2.0,1,700,1,1.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
673,8853,8456299,2250,1.0,1,611,2,9.0,9,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
674,8771,61582814,2500,0.0,1,634,6,3.0,11,0,0,1,1,1,1,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
687,5642,55971172,1500,0.0,0,400,2,1.0,103,0,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
689,6134,14712360,11000,4.0,3,3243,2,29.0,89,0,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
699,3551,26340900,3800,2.0,1,1312,12,1.0,9,1,0,0,1,1,1,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
701,844,82225553,2395,3.0,1,1000,2,3.0,101,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
703,6986,90580778,2395,3.0,1,950,4,3.0,109,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
707,3155,58926355,3200,3.0,1,1000,2,3.0,85,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
724,4807,83863916,4550,2.0,1,1200,3,7.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
726,7660,93684714,4615,2.0,2,922,1,16.0,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
727,591,89678417,2850,2.0,1,850,1,3.0,13,1,0,0,0,0,1,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
735,4106,75971014,2800,4.0,1,1000,6,1.0,110,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
737,10918,80234585,3000,1.0,1,731,5,6.0,96,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
747,1681,83863916,3900,2.0,2,914,3,2.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
749,7506,39031597,2814,0.0,1,615,8,5.0,106,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
754,1898,36761941,5299,2.0,1,1006,8,6.0,3,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
755,1361,1449225,1550,1.0,1,650,3,2.0,106,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
762,6177,36178653,2200,1.0,1,475,1,3.0,85,0,0,0,0,0,0,0,0,Cobble Hill,Northwest Brooklyn,Brooklyn
777,4284,52496366,6875,3.0,2,1200,3,6.0,1,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
782,8921,80939102,2978,1.0,1,657,2,33.0,3,1,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
784,4485,82658811,5550,2.0,2,1132,1,47.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
788,6860,49449598,1400,0.0,1,550,5,5.0,63,1,0,0,0,0,0,0,0,Ocean Parkway,South Brooklyn,Brooklyn
793,10511,53972210,3875,2.0,2,1100,7,12.0,6,1,1,0,0,1,1,0,1,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
797,6958,8398861,1650,1.0,1,800,3,3.0,85,0,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
799,10119,61582814,4800,2.0,2,1208,6,16.0,11,1,0,1,0,0,0,1,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
803,5789,59003976,1750,1.0,1,500,2,3.0,85,0,0,0,0,0,0,0,0,Prospect Lefferts Gardens,Prospect Park,Brooklyn
816,75,89892173,3305,0.0,1,515,3,6.0,16,1,0,0,0,0,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
820,9192,26340900,3300,2.0,1,743,12,3.0,9,1,1,0,1,1,1,0,1,Clinton Hill,Northwest Brooklyn,Brooklyn
821,5179,7163201,4695,2.0,2,862,5,3.0,8,1,1,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
833,9058,90808489,2200,1.0,1,750,5,5.0,86,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
836,5091,12068815,3070,1.0,1,613,9,10.0,4,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
839,5853,50047598,3445,1.0,1,617,6,4.0,92,1,0,0,0,0,0,0,0,Cobble Hill,Northwest Brooklyn,Brooklyn
843,9687,98528691,2250,2.0,1,733,3,4.0,100,0,0,0,0,0,0,0,0,Greenwood,South Brooklyn,Brooklyn
848,7347,57889478,1775,1.0,1,750,10,4.0,65,0,0,0,0,0,0,0,0,Kensington,South Brooklyn,Brooklyn
850,2626,53891741,4675,2.0,2,1098,3,2.0,7,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
859,2691,5936578,3795,2.0,1,770,3,8.0,2,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
860,6003,89575819,5000,2.0,2,1124,4,4.0,10,0,1,1,0,1,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
862,8966,56724744,4695,2.0,2,1100,7,10.0,5,1,1,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
865,7913,53569564,3348,0.0,1,426,5,16.0,1,1,0,0,0,0,0,0,0,DUMBO,Northwest Brooklyn,Brooklyn
868,6620,90580778,2395,3.0,1,950,4,1.0,109,0,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
871,7612,82658811,2970,1.0,1,677,1,15.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
872,2679,82658811,2840,0.0,1,505,1,44.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
883,6768,33212300,3000,1.0,1,930,2,2.0,11,0,0,1,0,0,1,0,0,Williamsburg,North Brooklyn,Brooklyn
891,3406,80939102,3461,1.0,1,725,2,23.0,3,1,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
902,8116,55781863,2450,1.0,1,750,1,2.0,96,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
905,4298,90837139,2599,2.0,1,800,5,1.0,106,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
915,62,97405164,2100,1.0,1,900,7,1.0,13,0,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
917,6732,40475276,1950,0.0,1,521,2,2.0,2,0,0,0,0,0,0,0,0,Greenwood,South Brooklyn,Brooklyn
919,10788,94467844,3900,1.0,1,865,10,6.0,116,0,0,1,0,1,1,0,0,Williamsburg,North Brooklyn,Brooklyn
931,10850,60105128,2300,2.0,1,1000,7,6.0,55,0,1,0,1,0,1,0,0,Bay Ridge,South Brooklyn,Brooklyn
932,2690,11388348,2300,1.0,1,750,4,2.0,85,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
934,7383,16356936,3000,3.0,1,1000,14,1.0,96,0,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
935,6544,35466664,2400,2.0,1,700,4,4.0,96,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
939,4639,53717970,1350,1.0,1,750,7,9.0,92,0,0,0,0,0,0,0,0,Brownsville,East Brooklyn,Brooklyn
943,10629,16496414,3400,3.0,2,1500,5,1.0,85,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
950,9672,33201777,2150,1.0,1,650,5,2.0,86,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
956,470,81299865,2575,0.0,1,725,2,4.0,85,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
962,5941,54670778,2995,1.0,1,765,9,4.0,7,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
967,9601,63767762,6000,3.0,2,1798,1,13.0,88,0,0,1,0,0,1,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
976,5135,69131476,2850,3.0,2,1500,7,2.0,11,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
980,9435,38496344,1325,0.0,1,300,1,3.0,85,0,0,0,0,0,0,0,0,Sunset Park,South Brooklyn,Brooklyn
987,11061,80329118,2650,1.0,1,600,7,2.0,117,0,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
989,3096,4040599,4595,3.0,1,1000,7,2.0,106,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
995,9747,81552123,2799,1.0,1,700,6,2.0,11,0,0,0,0,0,0,0,0,Greenpoint,North Brooklyn,Brooklyn
1001,9067,23496495,2200,2.0,1,800,3,2.0,115,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
1002,8078,25585133,3800,1.0,1,1000,3,4.0,88,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
1006,6169,83863916,4361,3.0,1,914,3,2.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
1008,5034,2915226,1900,2.0,1,900,4,1.0,96,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
1014,7500,29202488,3200,1.0,1,796,2,2.0,96,0,0,1,1,1,0,0,1,DUMBO,Northwest Brooklyn,Brooklyn
1020,1151,25024137,3300,2.0,1,1300,3,2.0,85,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
1029,9801,97730748,2650,1.0,1,750,1,2.0,92,1,0,1,0,1,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
1036,189,96767093,4299,1.0,1,901,6,10.0,88,0,1,0,1,1,0,0,1,Brooklyn Heights,Northwest Brooklyn,Brooklyn
1037,2590,9421339,2400,3.0,1,900,3,4.0,102,0,0,0,0,0,0,0,0,Ditmas Park,South Brooklyn,Brooklyn
1041,402,30668825,2640,0.0,1,472,6,5.0,2,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
1046,8119,65460309,2300,0.0,1,550,2,4.0,86,0,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
1049,6987,85991689,2400,0.0,1,500,6,12.0,7,0,1,1,1,1,1,0,1,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
1055,3543,53972210,2300,0.0,1,550,7,5.0,6,0,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
