,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
65,668,2950,0.0,1,765,2,4.0,29,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
66,4268,2750,1.0,1,600,9,12.0,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
67,10716,8200,2.0,2,1431,9,8.0,7,0,0,0,0,0,0,1,0,Chelsea,Manhattan
68,6366,2000,2.0,1,750,3,1.0,106,0,0,0,1,0,0,1,0,Central Harlem,Manhattan
69,9899,4995,3.0,1,1100,2,2.0,13,0,0,0,1,1,0,0,1,Financial District,Manhattan
70,8005,1875,2.0,1,900,3,4.0,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
71,8976,3900,1.0,1,750,6,6.0,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
72,3637,2400,0.0,1,500,9,1.0,106,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
73,9019,5325,1.0,1,697,2,36.0,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan
75,5275,3500,0.0,1,525,5,6.0,105,1,1,1,1,1,0,1,1,Midtown South,Manhattan
76,5877,3900,1.0,1,643,4,10.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
77,1694,3375,2.0,1,800,6,2.0,106,0,0,1,0,0,1,0,0,Upper West Side,Manhattan
78,7995,6400,2.0,2,1094,3,8.0,9,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
81,11213,12500,2.0,2,2082,2,2.0,101,0,0,0,0,0,1,0,0,Tribeca,Manhattan
83,2156,2595,0.0,1,285,5,10.0,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
84,1115,2199,2.0,1,900,11,3.0,106,1,0,0,0,0,0,0,0,East Harlem,Manhattan
85,1886,2430,0.0,1,330,2,7.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
86,1001,10000,2.0,2,1318,3,15.0,30,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
87,5402,6400,3.0,2,1100,4,3.0,13,0,0,0,0,1,1,0,0,Lower East Side,Manhattan
88,3482,5895,2.0,2,1250,1,25.0,112,1,0,0,1,0,0,0,0,Financial District,Manhattan
89,6128,2600,0.0,1,490,3,10.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
90,3736,4700,1.0,1,500,2,3.0,116,0,0,0,0,0,0,0,0,Soho,Manhattan
91,2309,6000,2.0,2,1428,3,15.0,88,0,1,0,1,1,1,1,1,Upper West Side,Manhattan
92,1148,4995,2.0,1,866,2,5.0,25,0,0,0,1,0,1,0,0,Upper East Side,Manhattan
94,8320,3388,0.0,1,825,4,4.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
95,5736,3483,1.0,1,735,9,4.0,87,0,0,0,0,0,0,0,0,Midtown East,Manhattan
96,1904,2900,2.0,1,1250,2,2.0,96,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
97,2376,4600,1.0,1,890,2,8.0,10,0,0,1,1,1,1,0,0,Midtown East,Manhattan
98,10520,1695,1.0,1,750,1,4.0,87,1,1,0,0,0,0,0,0,Central Harlem,Manhattan
99,7224,2700,0.0,1,542,6,22.0,28,0,0,0,1,1,1,0,0,Midtown East,Manhattan
100,1380,11750,4.0,3,3100,2,11.0,111,1,0,0,0,0,0,0,0,Midtown,Manhattan
103,6843,5080,1.0,1,850,2,26.0,42,1,0,1,0,0,1,1,0,Upper West Side,Manhattan
104,1554,4890,1.0,1,815,43,7.0,8,1,0,0,0,1,0,0,0,Upper West Side,Manhattan
105,6566,3800,1.0,1,750,13,21.0,9,1,0,0,1,1,0,0,1,Midtown West,Manhattan
106,3068,5200,3.0,2,2000,5,4.0,106,0,0,0,0,0,1,0,0,Central Harlem,Manhattan
108,3515,2800,0.0,1,450,4,5.0,43,1,0,0,0,0,0,0,0,Financial District,Manhattan
110,1645,6000,2.0,2,1200,9,4.0,105,0,0,1,0,0,0,0,0,Midtown West,Manhattan
111,2704,2100,0.0,1,400,5,2.0,101,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
113,3187,2300,1.0,1,500,6,3.0,96,0,0,0,0,0,0,0,0,Chinatown,Manhattan
114,6882,16750,3.0,3,2850,1,27.0,102,0,0,0,0,0,0,0,0,Financial District,Manhattan
115,5974,6400,2.0,1,1151,3,7.0,87,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
116,8071,5595,2.0,2,1170,4,28.0,85,1,1,1,1,1,1,0,1,Financial District,Manhattan
117,6519,2800,0.0,1,466,5,4.0,10,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
118,9663,3219,0.0,1,533,4,17.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
119,1239,8500,2.0,2,1244,1,6.0,9,0,0,1,1,1,0,0,0,Soho,Manhattan
123,2295,10000,2.0,2,1508,1,7.0,89,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
125,3466,3775,1.0,1,600,0,2.0,56,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
127,11163,4350,1.0,1,880,7,14.0,16,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
130,5852,3995,1.0,1,899,1,14.0,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
131,3458,4995,2.0,2,1153,43,16.0,9,0,0,0,0,0,0,0,0,Roosevelt Island,Manhattan
132,4076,7195,5.0,2,2430,5,5.0,96,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
133,500,7600,2.0,2,1500,5,9.0,2,0,0,0,0,0,0,0,0,Tribeca,Manhattan
134,960,2995,1.0,1,350,1,5.0,116,0,0,0,0,0,0,0,0,West Village,Manhattan
135,6080,4490,1.0,1,620,4,29.0,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
136,7072,3450,3.0,2,1800,2,5.0,101,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
137,8996,3800,1.0,1,700,13,19.0,9,1,1,0,1,1,0,0,1,Midtown West,Manhattan
138,11177,14662,4.0,3,1732,4,10.0,113,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
140,2894,2575,0.0,1,490,3,8.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
143,10706,3750,1.0,1,700,3,5.0,90,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
144,8378,6695,2.0,2,1033,2,17.0,30,0,0,0,1,0,0,0,0,Flatiron,Manhattan
145,3842,5500,1.0,1,1165,5,22.0,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
146,7418,5475,1.0,1,1094,2,38.0,30,0,1,1,1,1,1,0,1,Midtown,Manhattan
149,10549,4910,2.0,2,933,10,10.0,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
150,10485,5150,1.0,1,695,3,18.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
151,2474,4950,1.0,1,1115,5,2.0,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
154,6356,5225,1.0,1,770,3,11.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
156,7024,13750,3.0,3,1920,43,8.0,8,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
159,292,4500,1.0,1,755,7,43.0,6,0,0,0,0,0,0,0,0,Midtown South,Manhattan
161,5416,2200,1.0,1,675,4,4.0,88,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
162,7667,4000,1.0,1,840,10,40.0,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
164,7220,4300,0.0,1,559,3,24.0,11,1,0,0,0,0,0,0,0,Flatiron,Manhattan
165,428,2750,1.0,1,730,5,3.0,9,0,0,0,0,0,0,0,0,East Harlem,Manhattan
167,5671,5120,2.0,2,1003,10,7.0,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
168,2409,5895,2.0,2,1200,2,18.0,13,1,0,0,0,0,0,0,0,Financial District,Manhattan
169,1935,11723,3.0,2,1540,1,8.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
170,6553,4270,1.0,1,630,2,12.0,13,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
171,4977,2995,0.0,1,548,2,11.0,13,0,0,1,0,0,1,0,0,Financial District,Manhattan
172,7800,2150,1.0,1,687,4,2.0,96,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
173,1122,3500,1.0,1,651,6,34.0,37,1,0,0,1,0,0,0,0,Midtown East,Manhattan
174,7889,2150,1.0,1,650,7,2.0,115,0,1,0,1,1,0,1,1,Midtown West,Manhattan
177,7731,2350,0.0,1,400,5,16.0,30,0,0,1,1,1,0,0,1,Midtown East,Manhattan
178,9184,4499,2.0,1,837,6,14.0,37,0,0,0,1,1,1,0,1,Midtown East,Manhattan
179,8612,3815,1.0,1,665,8,23.0,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
182,2008,3200,2.0,1,850,7,3.0,60,0,1,0,1,1,1,1,1,Midtown East,Manhattan
184,11007,1625,1.0,1,560,6,2.0,96,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
185,3874,3500,1.0,1,722,12,32.0,32,0,0,0,0,0,0,0,0,Midtown East,Manhattan
186,9498,3495,1.0,1,686,10,34.0,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
189,5886,2025,0.0,1,350,3,4.0,90,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
190,1334,2700,3.0,1,750,2,1.0,112,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
191,5095,3550,1.0,1,748,6,9.0,10,0,1,0,0,0,1,1,0,Upper West Side,Manhattan
192,3698,6000,1.0,1,1500,2,2.0,151,0,0,0,0,0,0,0,0,Tribeca,Manhattan
193,2940,4750,2.0,2,917,3,4.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
194,1751,2800,0.0,1,520,2,24.0,9,0,0,0,1,1,0,0,0,Midtown West,Manhattan
195,5128,5000,1.0,1,707,2,5.0,8,0,1,0,1,1,1,0,0,Chelsea,Manhattan
196,4967,3500,2.0,2,1050,5,4.0,96,0,0,1,0,0,1,0,0,Central Harlem,Manhattan
199,3137,6800,2.0,2,1295,11,34.0,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
200,5939,2775,0.0,1,500,3,22.0,30,1,0,0,0,0,0,0,0,Midtown,Manhattan
201,3037,7900,2.0,2,1160,2,9.0,75,1,0,0,0,0,0,0,0,Central Park South,Manhattan
202,4290,3995,1.0,1,800,3,5.0,27,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
204,11237,9950,1.0,2,2050,3,4.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
206,1510,3400,1.0,1,800,7,3.0,16,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
207,1225,3300,1.0,1,725,4,5.0,91,0,1,1,1,1,1,0,0,Upper West Side,Manhattan
208,9369,11000,2.0,2,3000,0,2.0,116,0,0,0,1,1,1,0,0,Soho,Manhattan
210,3095,3250,2.0,1,850,5,3.0,116,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
211,10058,5700,2.0,2,1176,12,2.0,7,0,1,0,0,0,0,0,0,Chelsea,Manhattan
212,1861,7246,2.0,2,1080,1,10.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
213,1034,5688,2.0,2,1260,7,7.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
218,2450,6350,1.0,2,1352,1,2.0,126,1,0,0,0,0,0,0,0,Tribeca,Manhattan
219,6690,2800,0.0,1,351,1,2.0,29,0,0,0,0,0,0,0,0,Midtown West,Manhattan
220,583,5740,1.0,1,761,5,15.0,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
221,4717,3500,2.0,2,1031,3,6.0,13,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
223,11262,12500,3.0,3,2500,5,6.0,96,0,0,0,0,0,0,0,0,Midtown West,Manhattan
224,6266,2695,0.0,1,625,9,7.0,8,1,1,1,0,0,1,0,0,Midtown West,Manhattan
225,7236,2895,0.0,1,506,2,18.0,41,0,0,0,1,1,0,0,0,Upper East Side,Manhattan
226,4725,16500,2.0,2,1895,9,4.0,1,0,0,0,0,0,0,0,0,Chelsea,Manhattan
227,4937,5000,1.0,1,764,2,20.0,38,1,0,1,1,0,1,0,0,Midtown West,Manhattan
228,574,6600,2.0,2,1100,2,12.0,92,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
229,7665,3490,2.0,2,800,6,4.0,106,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
230,10770,4800,2.0,2,1000,3,8.0,96,0,0,0,1,1,0,0,0,Midtown South,Manhattan
231,3136,4050,1.0,1,805,11,20.0,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
232,750,5850,1.0,1,752,3,33.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
233,7782,2300,1.0,1,650,3,3.0,76,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
236,2660,3275,0.0,1,480,4,9.0,86,0,0,0,0,0,0,0,0,Chelsea,Manhattan
237,4674,4095,1.0,1,713,4,9.0,19,1,0,0,0,0,1,0,0,Upper East Side,Manhattan
241,3595,2995,2.0,1,800,3,2.0,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
242,5881,5900,2.0,2,1076,5,11.0,30,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
243,10368,3920,1.0,1,718,4,4.0,16,1,1,1,1,1,1,0,1,Chelsea,Manhattan
244,76,4795,1.0,1,707,7,10.0,16,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
245,8862,3800,1.0,1,600,2,14.0,9,1,0,0,0,0,0,0,0,Financial District,Manhattan
246,3978,12500,3.0,3,1833,5,14.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
247,17,5000,1.0,1,805,4,4.0,9,0,1,1,1,1,1,0,1,Flatiron,Manhattan
248,4630,4365,0.0,1,619,3,37.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
249,10804,3950,1.0,1,899,1,3.0,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
251,5030,4000,1.0,1,740,2,17.0,14,1,0,0,0,0,0,0,0,Midtown South,Manhattan
252,3200,3905,1.0,1,809,7,26.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
253,461,4000,1.0,1,700,3,4.0,62,0,0,1,1,1,0,0,0,West Village,Manhattan
254,874,2750,0.0,1,475,1,5.0,25,0,0,0,0,1,0,0,1,Upper West Side,Manhattan
256,9903,3631,1.0,1,707,3,1.0,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,Manhattan
257,9566,2095,0.0,1,410,8,2.0,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
258,7532,7995,2.0,2,852,3,6.0,106,0,0,0,0,0,0,0,0,Soho,Manhattan
259,8562,2995,0.0,1,579,4,2.0,55,0,1,0,1,1,0,1,1,Upper West Side,Manhattan
260,137,18450,2.0,2,830,2,7.0,29,1,1,1,1,1,1,0,1,Upper East Side,Manhattan
263,919,4250,1.0,1,800,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
265,4111,4995,1.0,1,972,7,10.0,6,0,0,1,0,0,0,0,0,Gramercy Park,Manhattan
266,10528,4200,0.0,1,530,1,17.0,90,0,0,0,0,1,0,0,0,Chelsea,Manhattan
267,210,4300,1.0,1,700,5,9.0,37,0,0,0,1,1,1,0,0,Upper West Side,Manhattan
270,1543,14000,2.0,2,2000,4,55.0,33,0,0,0,1,1,0,0,0,Midtown,Manhattan
272,1432,8250,2.0,2,1406,4,3.0,11,0,0,0,1,1,1,0,1,Soho,Manhattan
273,2069,3950,1.0,1,750,2,2.0,106,0,0,1,1,1,0,0,0,Chelsea,Manhattan
274,10349,5995,1.0,2,1815,4,1.0,96,0,0,0,1,1,0,0,1,Financial District,Manhattan
276,9154,4785,1.0,1,823,5,17.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
277,6221,4800,2.0,2,1150,12,35.0,27,1,1,0,1,1,1,1,1,Midtown East,Manhattan
278,3610,3595,1.0,1,620,11,9.0,31,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
279,6352,4500,2.0,2,1041,10,6.0,27,0,0,0,0,1,1,0,0,Midtown East,Manhattan
280,3560,5415,1.0,1,767,2,29.0,8,1,0,0,0,0,0,0,0,Midtown South,Manhattan
281,2524,5500,1.0,1,1145,4,2.0,11,0,0,0,1,1,0,0,1,Soho,Manhattan
282,6158,3700,2.0,1,850,4,4.0,53,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
283,7122,1700,1.0,1,400,8,3.0,5,0,0,0,0,0,0,0,0,East Harlem,Manhattan
285,5981,2799,0.0,1,750,3,3.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
286,1704,9300,3.0,3,1800,3,12.0,100,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
287,4626,4990,1.0,1,643,3,32.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
288,7027,7795,3.0,2,1266,1,5.0,43,0,0,0,0,0,0,0,0,Chelsea,Manhattan
289,4317,6000,2.0,2,900,1,26.0,31,0,0,1,0,0,0,0,0,Flatiron,Manhattan
290,8711,2450,0.0,1,450,2,10.0,93,0,0,0,0,0,0,0,0,Midtown East,Manhattan
291,2710,7000,4.0,3,2200,6,16.0,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
293,6035,3250,0.0,1,570,2,3.0,86,1,0,0,0,0,0,0,0,Midtown West,Manhattan
294,3332,5495,1.0,1,860,2,19.0,30,1,0,0,0,0,0,0,0,Flatiron,Manhattan
297,3828,4050,1.0,1,834,2,6.0,58,0,1,1,0,1,1,0,0,Midtown East,Manhattan
298,10031,3900,1.0,1,720,4,8.0,7,0,0,0,0,0,0,0,0,Tribeca,Manhattan
299,8229,3195,1.0,1,574,2,11.0,99,1,0,0,1,1,0,0,1,Upper West Side,Manhattan
300,7471,3000,1.0,1,496,2,4.0,28,0,0,0,0,0,0,0,0,Midtown West,Manhattan
304,9496,3700,1.0,1,642,10,32.0,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
305,6312,7950,2.0,2,1280,2,45.0,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
307,7680,2995,1.0,1,610,2,19.0,29,0,0,0,0,1,1,0,0,Battery Park City,Manhattan
308,6727,2600,0.0,1,437,12,3.0,8,0,0,1,0,0,1,1,0,Midtown West,Manhattan
310,247,2095,0.0,1,410,8,2.0,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
311,9660,5668,2.0,2,1022,4,21.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
313,118,7995,3.0,2,1518,3,4.0,31,1,0,0,0,1,0,0,0,Battery Park City,Manhattan
314,2147,3190,1.0,1,650,6,1.0,106,0,0,0,0,0,0,0,0,East Village,Manhattan
315,2896,2300,1.0,1,400,12,2.0,106,0,0,0,0,0,0,0,0,East Village,Manhattan
317,479,4950,2.0,2,917,3,9.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
319,1465,3100,1.0,1,475,3,2.0,116,0,0,0,0,0,0,0,0,West Village,Manhattan
323,5799,6400,3.0,2,1300,11,4.0,17,1,1,1,1,1,1,0,1,Chelsea,Manhattan
324,8705,3950,1.0,1,800,2,10.0,8,0,1,1,0,0,1,0,0,Financial District,Manhattan
325,3291,4400,1.0,1,500,3,2.0,106,0,0,0,0,0,0,0,0,Soho,Manhattan
326,2466,6450,2.0,2,1025,6,3.0,2,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
327,5009,3100,1.0,1,757,4,18.0,19,0,1,0,1,0,0,1,0,Upper West Side,Manhattan
328,10181,7700,2.0,2,1175,2,36.0,6,0,0,0,1,0,0,0,0,Financial District,Manhattan
330,8548,18250,4.0,4,2700,2,4.0,85,0,1,0,0,1,1,0,1,Upper West Side,Manhattan
331,78,13500,3.0,3,1868,43,32.0,8,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
332,8656,5780,3.0,2,1300,2,12.0,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
333,1732,6800,2.0,2,1280,3,35.0,11,0,0,1,1,1,1,1,1,Midtown South,Manhattan
334,1583,3300,2.0,1,750,12,3.0,96,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
335,3664,5500,2.0,1,1000,3,5.0,101,0,0,0,0,0,0,0,0,Tribeca,Manhattan
336,4534,1750,2.0,1,500,4,1.0,100,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
339,3314,8500,2.0,2,1478,9,54.0,15,0,0,0,0,0,0,0,0,Midtown East,Manhattan
340,2272,2650,0.0,1,482,6,30.0,28,0,0,0,0,0,0,0,0,Midtown East,Manhattan
341,4594,3700,1.0,1,763,3,6.0,31,0,0,0,1,1,1,0,1,Battery Park City,Manhattan
342,6371,6000,1.0,1,923,1,34.0,51,0,0,1,1,0,0,0,0,Greenwich Village,Manhattan
343,3901,5145,2.0,2,1038,7,17.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
344,146,2600,1.0,1,525,2,5.0,115,0,0,0,1,0,0,0,0,Midtown,Manhattan
347,8023,1600,0.0,1,550,7,3.0,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
348,2584,3058,0.0,1,533,4,19.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
349,5653,4475,0.0,1,583,8,12.0,10,0,0,0,1,1,0,1,1,Chelsea,Manhattan
350,1827,4950,1.0,1,927,3,32.0,29,1,1,1,1,1,1,0,0,Financial District,Manhattan
351,10940,3932,1.0,1,678,4,9.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
353,1511,3000,1.0,1,730,2,7.0,53,0,0,0,1,0,0,0,0,Midtown,Manhattan
355,1767,5150,3.0,1,910,9,31.0,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
356,6093,3450,1.0,1,750,2,7.0,96,0,0,0,0,0,0,0,0,Midtown South,Manhattan
357,6174,2250,2.0,1,750,7,4.0,102,1,0,0,0,0,1,0,0,Hamilton Heights,Manhattan
358,3366,4260,2.0,1,958,10,30.0,27,1,0,1,0,0,1,0,0,Midtown East,Manhattan
359,5068,4375,1.0,1,668,2,23.0,16,1,0,1,0,0,0,0,0,Flatiron,Manhattan
361,1306,10995,3.0,3,1800,7,30.0,9,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
362,2468,2900,1.0,1,600,12,16.0,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
363,1102,4200,1.0,1,690,7,6.0,6,0,0,1,1,0,0,0,0,Gramercy Park,Manhattan
367,3751,7500,3.0,2,1425,3,6.0,54,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
368,3289,3665,1.0,1,674,4,8.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
369,54,3800,3.0,2,1100,5,6.0,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
374,10552,2995,1.0,1,800,4,1.0,66,0,0,0,0,0,0,0,0,Midtown East,Manhattan
