,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
318,10885,73060494,3400,1.0,1,1000,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
320,3253,13753727,3000,1.0,1,630,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
322,6838,73060494,2535,1.0,1,570,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
346,9816,73060494,2945,1.0,1,940,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
352,10312,89178144,1900,1.0,1,678,5,4.0,64,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
354,6623,43392734,2450,2.0,2,1200,10,2.0,76,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
364,4281,6383223,1700,1.0,1,575,12,3.0,16,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
377,3369,72335059,1995,1.0,1,600,14,1.0,68,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
380,9365,75433258,1800,1.0,1,700,1,3.0,87,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
397,4975,67572187,1600,0.0,1,490,3,1.0,66,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
401,8545,1449174,1835,1.0,1,600,4,10.0,86,1,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
407,5208,98220656,1625,1.0,1,815,4,7.0,52,0,0,0,0,0,0,0,0,Jamaica Estates,South Queens,Queens
426,11320,70847172,3450,1.0,1,800,6,9.0,9,1,0,1,1,1,0,0,0,Long Island City,Northwest Queens,Queens
430,4997,51620973,1625,1.0,1,620,18,4.0,85,1,0,0,0,0,0,0,0,Queens Village,South Queens,Queens
441,5614,13753727,3275,1.0,1,630,6,15.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
452,7546,39477811,2500,1.0,1,700,15,4.0,116,0,0,1,1,1,0,0,0,Astoria,Northwest Queens,Queens
455,2928,76717231,3410,1.0,1,759,6,5.0,3,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
485,3374,93129760,1650,1.0,1,750,4,1.0,90,0,0,0,0,0,0,0,0,Woodhaven,South Queens,Queens
493,86,8338549,2050,0.0,1,500,11,6.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
499,6547,5244556,1850,2.0,1,900,3,3.0,86,0,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
504,9693,23781472,2295,1.0,1,863,11,3.0,8,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
514,8969,69966305,1700,1.0,1,550,2,27.0,87,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
530,7009,73060494,2595,1.0,1,752,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
531,8534,71151235,2695,2.0,1,800,10,1.0,94,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
542,9005,81008961,1550,1.0,1,710,4,2.0,21,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
544,6303,73060494,2550,1.0,1,650,9,3.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
554,4787,40556781,3300,1.0,1,787,43,4.0,5,0,0,0,1,0,0,0,0,Long Island City,Northwest Queens,Queens
555,5616,13753727,2955,1.0,1,630,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
566,7371,69721022,1575,1.0,1,770,1,3.0,60,0,0,0,0,0,0,0,0,Jamaica Estates,South Queens,Queens
572,7883,80967482,3795,2.0,2,911,1,3.0,85,0,0,0,1,1,1,0,0,Long Island City,Northwest Queens,Queens
589,5779,56449159,2550,1.0,1,750,3,16.0,6,0,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
613,2815,86716415,2750,2.0,2,1000,6,1.0,116,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
617,1969,73060494,2825,1.0,1,651,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
619,1094,8030945,2995,1.0,1,700,2,2.0,9,1,1,1,0,0,1,0,1,Long Island City,Northwest Queens,Queens
625,6803,12249740,2550,2.0,1,985,9,3.0,85,0,0,0,0,0,0,1,0,Sunnyside,Northwest Queens,Queens
632,3823,45227324,2650,0.0,1,518,6,3.0,85,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
633,8687,43661513,2395,1.0,1,700,4,3.0,9,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
646,7982,66130763,1741,0.0,1,487,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Northeast Queens,Queens
659,9416,85121161,4850,2.0,2,1225,2,8.0,96,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
661,2639,97910181,1950,1.0,1,850,7,3.0,61,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
665,1107,76832199,2650,1.0,1,985,5,5.0,71,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
698,8909,60898078,1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
731,5059,91033682,2150,1.0,1,800,3,3.0,80,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
739,1970,73060494,3500,1.0,1,988,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
741,8863,13243732,1465,1.0,1,470,2,2.0,85,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
744,5810,26379046,2300,2.0,1,1020,5,1.0,65,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
746,9643,33076545,2100,1.0,1,500,2,3.0,86,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
763,9047,41319561,3700,3.0,2,1600,4,4.0,20,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
766,3185,83371097,2870,1.0,1,673,3,24.0,16,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
767,8025,73060494,2395,1.0,1,600,9,2.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
769,409,68884733,4199,4.0,3,1500,2,1.0,86,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
779,1220,36367926,3200,4.0,1,1260,1,1.0,86,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
792,5458,73060494,2395,1.0,1,700,9,3.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
805,8235,15244377,1700,1.0,1,600,17,14.0,20,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
808,3834,53000616,5700,2.0,2,1194,1,7.0,6,0,1,1,1,1,0,1,1,Long Island City,Northwest Queens,Queens
829,4342,39133125,4100,2.0,2,1202,2,3.0,4,1,0,0,1,1,0,0,1,Long Island City,Northwest Queens,Queens
841,11009,64083931,1600,1.0,1,650,0,3.0,95,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
845,5650,13753727,4475,2.0,2,953,6,19.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
852,1971,73060494,3500,1.0,1,996,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
866,9437,18351112,1900,2.0,1,900,2,3.0,16,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
907,5944,22666785,2495,3.0,1,1400,2,1.0,13,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
912,10311,99987207,2350,2.0,1,1073,14,3.0,61,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
914,7764,40040852,2000,1.0,1,708,10,2.0,55,1,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
928,5185,34046696,2700,1.0,1,720,9,7.0,4,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
978,10846,36652725,2300,2.0,1,800,5,1.0,91,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
986,4311,80242060,1550,0.0,1,350,1,1.0,86,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
991,9084,3763388,2950,0.0,1,552,5,12.0,4,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
999,4902,69721022,1250,0.0,1,410,1,3.0,60,0,0,0,0,0,0,0,0,Jamaica Estates,South Queens,Queens
1003,7575,92325053,3500,1.0,1,1178,2,5.0,96,1,0,0,1,1,0,0,1,Long Island City,Northwest Queens,Queens
1005,4333,12249740,2550,2.0,1,975,9,4.0,85,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
1007,9318,33994391,4450,2.0,2,1050,3,29.0,20,0,1,0,0,0,1,0,0,Long Island City,Northwest Queens,Queens
1050,5617,13753727,5575,3.0,2,1023,6,14.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1094,4995,48082172,2795,2.0,2,1126,8,3.0,93,0,1,0,1,1,0,0,1,Kew Gardens,Northeast Queens,Queens
1104,11004,28174674,1825,1.0,1,680,13,2.0,52,1,0,0,0,0,0,0,0,Jackson Heights,Central Queens,Queens
1105,7250,63431782,2225,2.0,1,750,5,2.0,85,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1118,2006,31244061,2950,1.0,1,850,3,1.0,6,0,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
1123,7452,72514135,1590,1.0,1,700,7,5.0,51,0,0,0,0,0,0,0,0,Woodside,Central Queens,Queens
1127,7786,4096152,2050,2.0,1,900,16,2.0,75,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1140,2980,13488210,2800,2.0,1,1100,43,2.0,7,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1144,2177,76832199,2600,1.0,1,1031,5,2.0,71,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1148,10619,24218678,2700,2.0,1,800,8,1.0,86,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1206,3213,13753727,4085,2.0,2,913,6,19.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1225,4218,16233344,2200,0.0,1,600,3,3.0,88,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1244,11256,66130763,2498,2.0,1,784,27,5.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Northeast Queens,Queens
1245,248,58358357,2650,0.0,1,550,9,25.0,2,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1253,6222,90878438,1450,1.0,1,575,1,7.0,61,0,0,0,0,0,0,0,0,Jamaica Estates,South Queens,Queens
1258,8003,13753727,3325,1.0,1,629,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1283,8766,22592053,1500,1.0,1,650,3,4.0,86,0,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
1284,9690,24218678,2750,2.0,1,800,8,1.0,86,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1288,10731,93245382,2745,1.0,1,700,1,6.0,2,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
1292,3364,13753727,3911,2.0,2,913,6,18.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1295,8354,73060494,2535,1.0,1,615,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1300,5566,51540588,2250,2.0,1,750,5,2.0,92,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1311,2430,97864859,1350,0.0,1,450,8,4.0,54,0,0,0,1,0,0,0,0,Elmhurst,Central Queens,Queens
1319,3186,83371097,2907,1.0,1,706,3,5.0,16,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1321,5257,65804117,2550,2.0,2,850,7,2.0,86,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1338,4559,68756974,1950,1.0,1,715,10,1.0,84,1,1,0,1,1,1,1,1,Kew Gardens,Northeast Queens,Queens
1380,8928,20789601,2800,1.0,1,640,2,11.0,9,0,0,0,0,0,1,0,0,Long Island City,Northwest Queens,Queens
1381,5985,42645153,3400,2.0,2,1400,4,3.0,22,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1384,10961,71261679,2400,2.0,1,969,3,2.0,75,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1408,8776,50518851,1400,0.0,1,600,7,3.0,89,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
1413,11154,28415071,1725,1.0,1,720,2,2.0,14,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
1416,4382,36968380,2800,2.0,2,1000,9,1.0,101,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1427,7149,80149452,1700,1.5,1,600,3,2.0,86,0,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
1428,7282,40556781,2275,0.0,1,500,43,5.0,5,0,0,0,1,0,0,0,0,Long Island City,Northwest Queens,Queens
1447,8520,99664681,2600,1.0,1,705,6,2.0,8,0,0,0,0,0,1,0,0,Astoria,Northwest Queens,Queens
1453,325,16233344,2500,2.0,1,680,3,11.0,88,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1530,3636,61943887,2000,1.0,1,650,3,6.0,85,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1537,6571,49653888,3800,2.0,0,1047,10,12.0,6,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1559,1952,76717231,3160,1.0,1,721,6,20.0,3,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1579,11166,8217653,2650,1.0,1,875,8,16.0,56,1,1,1,0,1,1,0,0,Forest Hills,Central Queens,Queens
1602,112,90688317,1750,1.0,1,720,2,2.0,15,0,1,0,1,1,1,0,0,Forest Hills,Central Queens,Queens
1638,2399,10606754,2000,1.0,1,900,4,3.0,70,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1642,10793,31096071,1750,1.0,1,685,17,3.0,57,1,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
1650,9038,50196965,1750,1.0,1,850,3,4.0,75,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1661,10628,60992537,1995,2.0,1,850,37,5.0,53,1,0,0,0,0,0,0,0,Queens Village,South Queens,Queens
1663,6697,10442003,1550,1.0,1,600,3,2.0,87,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
1671,5278,49653888,3300,2.0,1,858,10,6.0,6,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1673,10889,42905347,2200,2.0,2,1200,1,2.0,76,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1683,5648,73060494,2535,1.0,1,575,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1687,10612,691509,2300,0.0,1,484,5,6.0,10,0,1,0,0,0,1,0,0,Long Island City,Northwest Queens,Queens
1694,9419,83371097,3139,1.0,1,706,3,18.0,16,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1696,5894,15728012,1950,1.0,1,480,10,2.0,1,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
1700,6948,317293,1925,0.0,1,460,2,1.0,9,0,0,0,0,0,1,1,0,Astoria,Northwest Queens,Queens
1710,8183,6338629,1650,1.0,1,750,4,1.0,20,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
1713,4246,37874147,2350,2.0,2,850,10,2.0,9,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
1725,5865,72882049,2600,2.0,1,1000,3,6.0,13,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
1726,10343,54063845,1800,1.0,1,800,12,3.0,65,0,0,0,0,0,0,0,0,Jackson Heights,Central Queens,Queens
1754,2011,52191490,1475,0.0,1,448,12,3.0,60,1,1,0,1,1,1,0,1,Forest Hills,Central Queens,Queens
1756,5895,24692593,3300,1.0,1,762,10,7.0,8,1,1,0,1,1,0,0,1,Long Island City,Northwest Queens,Queens
1785,9876,66130763,2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Northeast Queens,Queens
1792,8260,80242060,1475,0.0,0,380,1,3.0,86,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
1805,8164,73060494,3495,1.0,1,985,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1809,3204,13753727,3000,1.0,1,629,6,19.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1822,6380,37873879,2200,1.0,1,487,3,4.0,6,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1839,3853,33994391,3200,1.0,1,875,3,10.0,20,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1869,8684,62661588,1850,1.0,1,550,2,2.0,98,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1871,1968,73060494,2800,1.0,1,591,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1882,1965,73060494,2650,1.0,1,648,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
1910,7413,86450795,2350,2.0,2,1250,8,5.0,54,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1912,9390,89973581,1650,1.0,1,809,18,1.0,53,1,0,0,1,0,0,0,0,Flushing,Northeast Queens,Queens
1919,4755,34912094,1600,0.0,1,650,12,1.0,60,1,0,1,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
1938,4096,15165658,1650,1.0,1,820,2,3.0,87,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
1948,2646,64067963,1500,1.0,1,621,6,4.0,13,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
1958,8454,74543624,3950,2.0,2,1100,6,6.0,2,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
1962,5605,22922098,1625,0.0,1,550,2,4.0,74,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
1968,9382,3496680,1800,0.0,1,588,5,8.0,56,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
1978,839,28415071,2175,2.0,2,1000,2,4.0,14,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
2000,629,29311550,3350,1.0,1,600,4,7.0,86,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2010,4158,87487057,2950,3.0,2,1413,2,4.0,68,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
2021,3009,13189087,2499,3.0,1,800,10,1.0,88,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2060,3903,79476744,1800,1.0,1,850,1,2.0,57,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
2075,5754,13753727,3125,1.0,1,691,6,3.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2081,5767,13753727,5350,3.0,2,1023,6,21.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2087,8312,94554298,2550,3.0,1,900,11,2.0,88,0,0,0,0,0,0,0,0,Jackson Heights,Central Queens,Queens
2093,8360,51620973,1350,1.0,1,400,18,4.0,85,1,0,0,0,0,0,0,0,Queens Village,South Queens,Queens
2109,8461,9861523,2450,2.0,1,1111,3,5.0,62,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
2111,2922,9695816,4500,2.0,2,1285,3,3.0,9,1,1,0,0,0,1,1,0,Long Island City,Northwest Queens,Queens
2116,8993,52635854,1450,1.0,1,550,20,4.0,85,0,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
2130,5761,13753727,3911,2.0,2,913,6,18.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2156,10246,63431782,1900,1.0,1,700,5,1.0,85,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2165,4724,9791650,1350,0.0,1,350,10,3.0,66,0,0,0,0,0,0,0,0,Jackson Heights,Central Queens,Queens
2167,8313,30652105,2850,3.0,1,900,11,2.0,52,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2174,10579,76665733,2600,1.0,1,812,6,1.0,61,0,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
2185,9281,67572187,1550,0.0,1,449,3,3.0,66,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
2214,7017,73060494,2750,1.0,1,570,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2220,7226,16233344,2200,0.0,1,500,3,7.0,88,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2234,5380,94537204,3300,4.0,1,1100,1,3.0,51,0,0,0,0,0,0,0,0,Elmhurst,Central Queens,Queens
2236,296,443527,3300,3.0,1,1000,2,4.0,3,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2240,6200,84712392,2200,2.0,2,800,2,1.0,86,0,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
2262,828,45227324,2725,0.0,1,537,6,3.0,85,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2289,1911,2309068,2900,1.0,1,786,1,5.0,10,0,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2291,7538,90062295,2550,2.0,1,700,9,2.0,15,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2301,1175,84618592,2700,1.0,1,699,14,7.0,9,1,1,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2302,5423,33648275,2200,1.0,1,1000,1,6.0,79,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
2304,1773,83738982,2100,2.0,1,850,4,2.0,86,1,0,0,0,0,0,0,0,Ridgewood,Central Queens,Queens
2309,7763,40040852,1925,1.0,1,660,10,1.0,55,1,1,1,1,1,1,0,1,Sunnyside,Northwest Queens,Queens
2313,5705,13753727,3975,2.0,2,913,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2320,5851,54574402,2195,1.0,1,700,5,3.0,51,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2321,6574,49653888,3200,2.0,1,858,10,3.0,6,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2323,5501,7530892,2250,2.0,1,780,5,4.0,92,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2330,6979,30171847,3400,1.0,1,890,2,5.0,8,0,0,1,1,1,1,0,1,Long Island City,Northwest Queens,Queens
2334,8956,50079271,3200,1.0,1,718,3,22.0,2,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2342,3476,32752145,2600,2.0,2,1200,7,2.0,58,1,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
2345,3183,37873879,2700,2.0,1,720,3,3.0,6,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2347,10228,39133125,3150,1.0,1,761,2,7.0,4,1,1,0,0,1,0,0,0,Long Island City,Northwest Queens,Queens
2367,3201,13753727,2325,0.0,1,418,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
2380,8126,68507235,1999,3.0,1,1000,11,2.0,86,0,0,0,0,0,0,0,0,Glendale,Central Queens,Queens
2399,1957,73060494,2900,1.0,1,936,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2417,6731,87487057,1750,1.0,1,921,2,3.0,68,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
